text,sent_makanan,sent_harga,sent_layanan,sent_lingkungan,sent_umum,,numerik_makanan,numerik_harga,numerik_layanan,numerik_lingkungan,numerik_umum
bumbu mienya menurutku makin enak yang sekarang + hoki banget hari ini gak nunggu atay antri begitu lama. pelayanan bintang lima sama waiternya cakep-cakep dan bersih. penyajian juga bersih jadi enak dan betah,positif,,positif,positif,,,1,0,1,1,0
"Sumpahh kamar mandinya airnya kumuh udah airnya kecil,mau cebok bingung ðŸ˜©
pas makan gabisa lupa kebayangâ€ sm kamar mandinya
TOLONG KAMAR MANDINYA DIPERHATIKAN LAGI,jadi gak mood makanðŸ˜­ â€¦",,,,negatif,,,0,0,0,2,0
"pelayanan oke cuma saran maknannya ditambah bumbunya karena menurut sama mienya rasanya hambar tidak ada rasa tidak seperti yang dulu,",negatif,,netral,,,,2,0,3,0,0
"Mie dengan rasa yang realistis enaknya bagi customer yang fanatik, untuk harga cukup relevan, dan untuk Suasana siang sampai malem lingkup yang tenang asri se akan""  bisa menyatu dengan alam dengan area sekitar yang teriringi pepohonan yang â€¦",positif,positif,,positif,,,1,1,0,1,0
"Untuk makanannya enak, pas di lidah, dan lezat. Untuk pelayanannya cepetðŸ‘ðŸ‘ â€¦",positif,,positif,,,,1,0,1,0,0
"Mbak"" yang melayani pengambilan minuman dan dimsum tidak ramah , minta saos soalnya kurang beli dimsum nya 5 dikasi saos cuma 1 ,minta lagi di kasih 1 dengan ekspresi yg tidak mengenakkan ðŸ™ mohon di perbaiki soalnya kerja di pelayanan jadi harus ramah â€¦",,,negatif,,,,0,0,2,0,0
Pelayanan bagus banget dan makanan nya enak banget,positif,,positif,,,,1,0,1,0,0
"sangat recomended bagi penggemar mie pedas, harga yang sangat terjangkau dan cocok bagi anak anak kuliahan yang ingin sekalian nongkrong disini â€¦",positif,positif,,,,,1,1,0,0,0
"Mienya gacoannya warna nya lebih pucat dan rasanya agak hambar, beda pas di gacoan yang lama, terus pelayanannya lama hampir sejam baru diantar padahal jam 2 pagi.",negatif,,negatif,,,,2,0,2,0,0
"pelayanannya terlalu dan selalu lama 1 jam setengah bahkan lebih wkwkwk, anehnya ruang tunggu kurang banyak tempat kurang banyak jadinya yg bungkus + ojol banyak yg berdiri atau duduk di tempat yg dine in kayak aku yg diusir pindah gara2 ada yg mau duduk disitu padahal banyak yg kosong wkwkkwkwðŸ˜‚ â€¦",,,negatif,negatif,,,0,0,2,2,0
Wah mantap rasanya mantap .. pelayanan nya juga bagus .  Sukses terus untuk mie gacoan â¤ï¸â¤ï¸â¤ï¸ðŸ¤ðŸ¼ â€¦,positif,,positif,,,,1,0,1,0,0
"pelayanannya cepat, suasananya bersih, mienya ga pelit cabe dan harga wort itðŸ¤© â€¦",positif,positif,positif,positif,,,1,1,1,1,0
"tempat luas, pelayanan cepat banget, petugasnya ramah2",,,positif,positif,,,0,0,1,1,0
"beli gacoan jam 3 dini hari niat makan makan ditempat gak boleh, setelah itu ada temen makan ditempat boleh. tolong konsisten dong, kalo gak niat buka 24 jam gaush aja. sampe makan harus ngemper di alfamart",,,negatif,,,,0,0,2,0,0
"Meskipun dari Banyuwangi harus ke Jember dulu, pelayanan dan rasa ga perlu diragukan, btw di Banyuwangi mau buka jg yeyy",positif,,positif,,,,1,0,1,0,0
"Tempat makan ini sangat recommended, pelayanannya baik, begitu pula makanannya enak",positif,,positif,positif,,,1,0,1,1,0
makanan nyaa recommend bangett buatt para pelajar jika kelaparan pulang dari sekolahh trss cocok juga buat kumpul kumpul bareng temen atau kerabat terdekat kalian,,positif,,,,,0,1,0,0,0
"as always gacoan is the best, dari segi rasa pelayanan, walau rame tapi tetep kenceng dateng makanannya, buat tempatnya bersih tapi bisa better lagi, recomendedâ€¦",positif,,positif,positif,,,1,0,1,1,0
"tempatnya luas sekali, pelayanannya ramah, makanannya worth it bangett cocok buat pelajar/mahasiswa dll, cocok buat acara reservasi",,positif,positif,positif,,,0,1,1,1,0
"nyaman deh, sistem ny udah self servis jadi ga prlu nunggu oranglain, ga kebingungan jgaaa, gatau langsung diarahkan sama karyawannya",,,positif,positif,,,0,0,1,1,0
"enak worth it kak, porsi banyak tpi saya kasi bintang 1 karena sya cpek mau ngdi bintang 5",positif,,,,,,1,0,0,0,0
"pelayanannya ramahhh bangett, sukaa bangettt. apalagi yang namanya kak teguhhh, thee besttt. makanannya enakk udangnya pun gaa berubahh. suasananya ademmm jgaa, jangan lupaa dehhh mampirrr dan cobainn sendiriii hihihi..",positif,,positif,positif,,,1,0,1,1,0
"Pelayanannya sudah baik, tidak menunggu lama, makanannya dan minuman enakk dan rekomendasi bgt untuk makan bersama teman dan keluarga ðŸ˜ðŸ˜ðŸ˜ â€¦",positif,,positif,,,,1,0,1,0,0
"Enakkk, antrinya ga lama, pesen lewat qr barcode, tunggu sebentar langsung dateng, tempatnya juga bersih ðŸ‘ðŸ»ðŸ‘ðŸ» â€¦",,,positif,positif,,,0,0,1,1,0
"Behh parah sihh, kalau bicara soal mie pedes dijember 'MIE GACOAN' tetap dihati dari pagi siang sore malem rame trsss ga ada bosennya sama nih Mie, meskipun rame tetep memberikan pelayanan yg cepat. Pelayan nya juga Sat Set ðŸ‘ðŸ‘ harganya worth it buat kantong mahasiswa ðŸ¤© cuss cobain â€¦",,positif,positif,,,,0,1,1,0,0
"Kualitas makanan baik, rasa enak, variasi menu beragam dan cukup banyak, pelayanan cepat, tempatnya luas, harga terjangkau.",positif,positif,positif,positif,,,1,1,1,1,0
"Tempatnya cozy dan aesthetic, cocok untuk semua kalangan nih. Pelayannya jugak ramah"" Menunya jugak enak"" apalagi mie gacoannya mantep poll. Sangat recommended deh pokonyaðŸ‘ â€¦",positif,,positif,positif,,,1,0,1,1,0
"waktu menunggu tidak terlalu lama, rasanya juga enak seperti biasanya, pelayanannya juga baik",positif,,positif,,,,1,0,1,0,0
"menurutku semua makanan di gacoan enakk gaada yg zonkðŸ’“ðŸ¥°
untuk sarannya tempatnya kalau bisa diperluas untuk kenyamanan customer. â€¦",positif,,,negatif,,,1,0,0,2,0
"pelayanan oke aku kasi jempol, tapi sayang di pangsitnya ada rambut",negatif,,positif,,,,2,0,1,0,0
"gabisa minta bantuin surprise,mie nya datengnya lama esnya setengah baru datang mie nya.",,,negatif,,,,0,0,2,0,0
"KLO soal makanan sma minuman sih oke semua , cuma yg aneh parkiran , hilangkan kertas biasa gaada nominal tetep 2000 malah skrng sampai 6000 , malah tukang parkirnya sok sok an , males ribet sma Tukang parkir tak langsung bayar",positif,negatif,negatif,,,,1,2,2,0,0
pelayanan sudah lumayan gercep hanya saja untuk tempat kurang luas sehingga pelanggan harus menunggu kursi kosong jika ingin makan ditempat.,,,positif,negatif,,,0,0,1,2,0
"makanannya worth it, pas untuk tingkat kepedasannya dan porsinya. untuk pelayanannya cukup ok. minus di tempatnya kurang luas dan parkirannya, mungkin bisa pindah tempat. karena peminatnya juga cukup banyak.",positif,,positif,negatif,,,1,0,1,2,0
"Enak banget, pelayanan ramah",positif,,positif,,,,1,0,1,0,0
"Pesanan kita lama dibuatnya, alasannya karena bayar pakai bca biasa trouble. Padahal kita selalu bayar pakai mbanking bca dan bisa",,,negatif,,,,0,0,2,0,0
"Pelayanan cepat dan ramah
Would be more appreciate kalo pesanan minuman bisa di less sugar
Sukses selaluuðŸ¥° â€¦",,,negatif,,,,0,0,2,0,0
"pelayanan sangat kurang baikkk
mie kita datang lama sedangkan 4 antrian di belakang kita sudah datang",,,negatif,,,,0,0,2,0,0
"Pengalaman makan di mie gacoan pelayanan ramah, mie dan dimsum nya juga selalu enak rasanya selalu pas gaada yg kurang.",positif,,positif,,,,1,0,1,0,0
MANTAAPP ENAKK SEKALIIIII BINTANG 5ðŸ«¶ðŸ»ðŸ«¶ðŸ»ðŸ«¶ðŸ» â€¦,positif,,,,,,1,0,0,0,0
pelayanan cepat trmpat nyaman,,,positif,positif,,,0,0,1,1,0
pelayanannya cepat jadi enak tidak nunggu terlalu lama dan makananya juga suka,positif,,positif,,,,1,0,1,0,0
Tukang parkir yg arogan sudah tidak di kasih karcis mobil bayar 5 RB pdahal tulisan di Baner 3000 pecat sudah itu,,negatif,negatif,,,,0,2,2,0,0
"Baru pertama kali nyobain gacoan,suka banget sama udang kejunyaa terus nunggunya nggak terlalu lama kok",positif,,positif,,,,1,0,1,0,0
"tempat favorit kalo lagi pengen makan pedes rekomen banget di gacoan, suka sama pelayanan nya juga selalu ramah",,,positif,positif,,,0,0,1,1,0
bagus pelayanannya enak juga top deh,positif,,positif,,,,1,0,1,0,0
"jos pelayanan mantap
sekali",,,positif,,,,0,0,1,0,0
Pelayanan cepet dan baikk plisssðŸ˜ â€¦,,,positif,,,,0,0,1,0,0
Pelayanan bagus kak makasih,,,positif,,,,0,0,1,0,0
"Pelayanannya cepat tidak menunggu terlalu lama, untuk seasoning kurang strong pedasnya",negatif,,positif,,,,2,0,1,0,0
"tempatnya bersih, karyawannya ramahÂ² semua, makanan dan minumannya enak dan rasanya pas dijamin bikin nagih",positif,,positif,positif,,,1,0,1,1,0
"Mie nya enak
Pengantaran cepet ga antri. Banyak",positif,,positif,,,,1,0,1,0,0
"Makin bagus, rada konsisten, pelayanan juga lebih bagus dari sebelumnya, tempatnya makin luas dan parkirannya untuk mobil juga sudah ada ðŸ˜ â€¦",,,positif,positif,,,0,0,1,1,0
"Langganan banget sebenernya.tapi makin ksini rasanya mienya kurang konsisten.
Trus skrg pesen kaya ga seusai levelnya sering bgt pesen level 2 tapi cabenya dh kaya lvl 6. â€¦",negatif,,,,,,2,0,0,0,0
"Pertama kali nyoba yang di lokasi PB Sudirman. Pas alarm bunyi kita gangerti dan ga dikasi tau sebelumnya ðŸ¥¹ mbak2 yang jaga tempat pengambilan dimsum SM es juga gaada manggil cuma lambai lambai, jadi ga keliatan. â€¦",,,negatif,,,,0,0,2,0,0
enak dan terjangkau,positif,positif,,,,,1,1,0,0,0
"Makanannya enak dan pelayanannya juga mantap, antri tidak terlalu panjang, mantapp",positif,,positif,,,,1,0,1,0,0
"Jujur saya kaget sm tekstur dari daging pangsit, udang keju, dan udang rambutnya.. Lebih kerasa kenyal""kanji dr pd dagingnya",negatif,,,,,,2,0,0,0,0
"pelayanan yang sangat baik dan cepat, karyawan ramah",,,positif,,,,0,0,1,0,0
Tempatnya nyaman pelayanan jga cepat,,,positif,positif,,,0,0,1,1,0
"Makanan dan layanan baik, masih harus waiting list terkait tempat duduk dan pesan makanan sangat antri",netral,,negatif,negatif,,,3,0,2,2,0
"Serasa makan mie sedap goreng,pangsitnya jugaa kurang enakk
Rasanya sudah berbeda tidak seperti biasanya",negatif,,,,,,2,0,0,0,0
ga perlu di raguin lagi rasanya enak. cuma harus konsisten terkait tekstur dan rasanya,positif,,,,,,1,0,0,0,0
"Sangat recomended bagi penggemar mie pedas, harga yang sangat terjangkau dan pelayanan yang sangat ramah.
Cocok bagi anak-anak kuliahan yang ingin sekalian nongkrong disini.
Mie Gacoan the Best!!",positif,positif,positif,positif,,,1,1,1,1,0
pelayanannya sangat ramah,,,positif,,,,0,0,1,0,0
"mie nya sangat enakk,rasanya gapernah berubah tetep enakkk,pedes nya nampoll,tempatnya juga nyaman bangetttðŸ’“ðŸ’“ðŸ«°ðŸ«° â€¦",positif,,,positif,,,1,0,0,1,0
"Tempat nya bersih, pelayanan nya baik dan cepat dan ramah, makanan nya enak, recomended !!",positif,,positif,positif,,,1,0,1,1,0
"Pelayanan sangat lama, kalo kurang pegawai carilah. Masak customer nungguin lama banget sampe bingung mau ngapain",,,negatif,,,,0,0,2,0,0
favorit banget tempatnya bersih pelayanannya pada murah senyum semua.tadinya bingung gmna sistemnya tapi mas2 nya ngejelasinnya sabar banget gak pernah ngecewain dah.karyawan an Ragil,,,positif,positif,,,0,0,1,1,0
"pelayanan nya baik, cepat, meja juga bersih, mie nya tetap konsisten enakkk",positif,,positif,positif,,,1,0,1,1,0
"Disini tempat nya enak adem dan pelayanan juga baik, saya sangat suka dengan tempat makan ini gacoan may favorit",,,positif,positif,,,0,0,1,1,0
"Langganan disini, suka udang kejunya",positif,,,,,,1,0,0,0,0
"Makanannya pelayanan nya itu wes muantwpp... Makanane makin wenaakk ee.. cuma tempatnya kurang luas. Karna saya tipe makan harus santai ha riweh suara ini itu, tapi gapapa karna bisa di takeway",positif,,positif,negatif,,,1,0,1,2,0
"Tempat makan andalan anak kost sih ini, selain harganya terjangkau rasanya oke tempatnya juga nyaman, luvv bgt sama udang keju nyaa ðŸ˜ â€¦",positif,positif,,positif,,,1,1,0,1,0
"Gacoan enak banget
Terima kasih udah buka 24 jam karyawannya  ramah rasa konsisten",positif,,positif,,,,1,0,1,0,0
"pelayanan lama bgt,udah 1set jam nunggu malah pesenan yg lain dateng duluan,jelas2 duluan sini ternyata ga dianter2,udah bad mood karna laper malah makin laper",,,negatif,,,,0,0,2,0,0
"Tempatnya nyaman, makanannya juga enak, pelayanan okee..",positif,,positif,positif,,,1,0,1,1,0
Pelayanan yang cepatt bersih dan ramah,,,positif,positif,,,0,0,1,1,0
Gacoan ini salah satu andalan aku banget di kota mana pun pasti yang di cari gacoan â€¦,,,,,positif,,0,0,0,0,1
"Makanan enak baik dari mie, dimsum, dan minumannya. Cuma untuk meja saat rame harus menunggu antrian meja dan makanan cukup lama.",positif,,negatif,negatif,,,1,0,2,2,0
"Tempatnya nyaman dan pelayanan the best, kualitas okee",,,positif,positif,,,0,0,1,1,0
"Hmm...
Kalau diliat dari segi restonya, boleh boleh sih ini soalnya pas awal kesini suasananya asri, banyak dedaunan, pepohonan, terus rumput sintetisnya kayak â€¦",,,,positif,,,0,0,0,1,0
Enak sih cuma antri poll harus rela jadi wkwk,positif,,negatif,,,,1,0,2,0,0
"makanannya enak"" apalagi perdimsuman nya, tempatnya juga aesthetic",positif,,,positif,,,1,0,0,1,0
"karyawan sangat ramah cantik, dan sangat baik, pelayanan sangat bagus dan cepat",,,positif,,,,0,0,1,0,0
"Pelayanannya ramahh, makanannyaa uenakk tapi kalo bisa tempatnya diperluasðŸ˜ðŸ˜ðŸ˜ â€¦",positif,,positif,negatif,,,1,0,1,2,0
Tempatnya bagus pelayanannya juga bagus suka banget sama tempatnya mie gacoan estetik banget,,,positif,positif,,,0,0,1,1,0
"SERU AJAA INI KALO BUAT RAME RAMEEE HIHIYYY, mungkin agak perluas lagi aja kali ya tempatnya wkwk biar ga nunggu nungguan",,,,negatif,,,0,0,0,2,0
"Pelayanan sangaaaaaattttt lama.
Makanan saya sdah 10 menit habis tapi minuman belom diantar.
Kapok wes, terakhir koyok e mangan neng kene ini.
Definisi makan tanpa minum.",,,negatif,,,,0,0,2,0,0
"seperti biasa harus nunggu lama,karna selalu ramai ,okee kok",,,negatif,,,,0,0,2,0,0
"layanan nya cukup cepat, makanannya best tempatnya juga bersih, pegawainya asik",positif,,positif,positif,,,1,0,1,1,0
"Baru pertama kali makan dine in. Biasanya go food. Untuknya makanannya oke, tapi untuk minumannya saya pesan es jeruk, kirain jeruk beneran. Ternyata jeruk-jerukan ðŸ˜…. ",negatif,,,,,,2,0,0,0,0
Nyaman sihhh cuma agak lama dikit di minumannya hehehehe,,,negatif,positif,,,0,0,2,1,0
"kakaknya ramah,pelayanan nya bagus ,tempatnya nyaman,pokok the best",,,positif,positif,,,0,0,1,1,0
"tolong untuk pelayannya di perhatikan pesenan pembeli. gimana ini kok ketuker. bilangnya level 1, tpi knpa malah di kasi level 2 keatas. diperhatikan yaa",,,negatif,,,,0,0,2,0,0
makanannya enak bgttt... apalagi dimsumnya the best. suasana dan layanan semua pegawainya mantaappp.,positif,,positif,positif,,,1,0,1,1,0
sumpah ada miee yaang se enak iniii udang kejunyaaa surgaaaaa sihh kek omaygattt suka banget apalagi tempatnya luas pas dateng masi sepi si pelayananyaaa ramah semuaaaaaaaa sukaaa besttttt bbgtt luvvvðŸ¤©â¤ï¸â€ðŸ”¥â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸ â€¦,positif,,positif,positif,,,1,0,1,1,0
"mau kasih saran
kalo ada yg masih makan mas2nya jangan nyapu dlu dong ðŸ˜”
trusss mbak2 kasir klo bisa yg ramah.. tapi oas dpet mbk2 kasir yg jutek ðŸ˜… â€¦",,,negatif,,,,0,0,2,0,0
"Gacoan loveeeeeeeeâ¤â¤â¤â¤â¤ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ
Rasanya best
Palayanan best bngt â€¦",positif,,positif,,,,1,0,1,0,0
"Luas tempatnya, parkir juga nyaman, sayangnya kalo bayar tunai harus bolak balik dari ambil antrian teru ke meja scan menu, pesen terus balik ke kasir buat bayar tunai. â€¦",,,negatif,positif,,,0,0,2,1,0
"harga nya sangat murah, utk kaum mahasiswa,
mie nya enakkkk, .
pokok the bestttt bangettt",positif,positif,,,,,1,1,0,0,0
"Lagi nyoba  mie hompimpa nya mie gacoan, lumayan lama sih nunggunya kurleb 30menitan.
Mie datang langsung santap, dan rasanya ASIIIN banget ðŸ¤ª.
Setiap nyantap langsung nyruput es teh sampe hbs 2 gelas.. â€¦",negatif,,negatif,,,,2,0,2,0,0
"Pelayanannya best, kakaknya ramah semua dan makanan enak ðŸ‘ â€¦",positif,,positif,,,,1,0,1,0,0
"bagus banget pelayanannya, harga nya worth it, dan tempatnya oke banget",,positif,positif,positif,,,0,1,1,1,0
"Lokasinya strategis lumayan deket daerah kampus.
Tempatnya selalu ramai. Kadang antrenya sampe ke parkiran (maybe cause tiny space). Parkirnya cukup ada tempat. â€¦",,,,negatif,,,0,0,0,2,0
Buka 24 jam. Parkir mobil tidak ada. Tisu tidak disebar ditembok-tembok seperti gacoan ditempat lain. Lainnya oke,,,positif,negatif,,,0,0,1,2,0
"enakkk bgttt langganan mie gacoannn sma temen temennn, tempat luas dan bersih bikin nyamann",positif,,,positif,,,1,0,0,1,0
"pelayanan cepat, bersih, dan enak",positif,,positif,positif,,,1,0,1,1,0
"Pelayanan cepat meski antri panjang , selalu langganan kalo datang ke sini , harga ga menguras kantong ðŸ˜ â€¦",,positif,positif,,,,0,1,1,0,0
"Pelayanan bagus, tempat bersih, dan makanan enak",positif,,positif,positif,,,1,0,1,1,0
"pelayanan memuaskan ,makanan mantul enak betul",positif,,positif,,,,1,0,1,0,0
"Pelayanannya ramah, cukup cepat diantar setelah pesan, termasuk makanan fav anak kos and low budget",,positif,positif,,,,0,1,1,0,0
Pelayanan untuk makanan dan minuman cepat tersaji.. suasana oke..,,,positif,positif,,,0,0,1,1,0
pelayanan sekarang sudah lumayan oke lebih cepat dari biasanya,,,positif,,,,0,0,1,0,0
"sukaaa bgt pelayanan nya , kukira lama , ternyata cepet bgt antri nya",,,positif,,,,0,0,1,0,0
Pesenannya cepatttt datangnya yey,,,positif,,,,0,0,1,0,0
"akhir akhir ini rasanya berbeda tidal seenak biasana , tolong di cek lagi ya, tapi tetep suka , tapi agak kurang aja",negatif,,,,,,2,0,0,0,0
"Best sih, pokoknya apapun kondisinya gacoan solusinya wkwk",,,,,positif,,0,0,0,0,1
Pelayanan sangat bagus dan cepatt ðŸ‘ðŸ‘ðŸ‘ â€¦,,,positif,,,,0,0,1,0,0
"Dimsumnya best! Aku beli udang keju. Wangi minyak wijennya berasa terus kejumya melt. Untuk mienya, 5/10. Kurang manis, kurang asin, kurang gurih. Kurang wangi juga bawangnya. Kalo mau main2 ke gacoan mending makan dimsum2annya ajaaa",negatif,,,,,,2,0,0,0,0
"pelayannya ramah bangett, tempatnya nyaman dan bersih, makanannya juga enak enakk",positif,,positif,positif,,,1,0,1,1,0
"nyaman, pelayanan josjis
saran: (smoking area kalau bisa)",,,positif,positif,,,0,0,1,1,0
"Pertama kali kesini ternyata ga mengecewakan, untungnya ga terlalu rame jadi bisa langsung dapat tempat duduk. Untuk mienya enakk banget, rasanya juga pas. Pelayanannya ramah",positif,,positif,netral,,,1,0,1,3,0
"gacoan jember tempatnya nyaman untuk tempat kumpul keluarga, bersama teman, maupun pasangan karena suasana sore maupun malamnya sangat sejuk dan segar. pelayanan yang baik dari para crew nya membuat kita betah untuk berada disana. tak hanya â€¦",,,positif,positif,,,0,0,1,1,0
"makanan sangat enak dan penyajiannya cepat,selain itu tempatnya juga bersih",positif,,,positif,,,1,0,0,1,0
pangsitnya tmbah cuilik rekkðŸ˜­ â€¦,negatif,,,,,,2,0,0,0,0
Mas yg pakai kemeja merah sangat ramah dan menjawab setiap pertanyaaan dengan baik,,,positif,,,,0,0,1,0,0
Memuaskan sekali ðŸ§šðŸ»ðŸ’– â€¦,,,,,positif,,0,0,0,0,1
Salah satu warung kedai resto mie di kota Jember dengan cita rasa yang enak dengan fasilitas lahan parkir yang luas dan toilet. Tempat makan yang nyaman berlokasi di jalan PB Sudirman pertigaan ke arah jalan Wijaya Kusuma.. tepatnya di depan apotek Bima 3. recommended ðŸ‘ â€¦,positif,,,positif,,,1,0,0,1,0
gacoann nya enak kerasa bangtt gitu kayak rasa gacoanðŸ¤— â€¦,positif,,,,,,1,0,0,0,0
"Rasanya enak, pelayanannya ramah, dan cepet, rekomen bgt",positif,,positif,,,,1,0,1,0,0
"Mie nya manis kak ,tapi enak kok kurang pedes untuk level 3",negatif,,,,,,2,0,0,0,0
Rasa mantab.. buat ngangenin rasanya.. suksess terus buat gacoan.. ditunggu open cabang lagi ya...,positif,,,,,,1,0,0,0,0
"makanannya enak, pelayanan ramah dan cepat",positif,,positif,,,,1,0,1,0,0
Ini kesekian kalinya sih ke gacoan jember pelayanan selalu menyenangkan sumringah jadi kitanya happyyy mau makan dan 1 lagi cepatttttt bngt meskipun rame,,,positif,,,,0,0,1,0,0
Tempatnya makin luas makananya juga enak cepet jugaa suka bngett makin love gacoan,positif,,,positif,,,1,0,0,1,0
"tempatnya bersih, luas, dan nyaman bangett truss juga kumpul sama temen jadi enjoyy",,,,positif,,,0,0,0,1,0
"saat antri panjang pelayanan cepat dengan sistem catat sebelum di kasir, jadi saat sampai kasir sudah langsung dibacakan pesanan
menunya beragam dan harga nya ramah kantong pelajar dan mahasiswa, safe food kalo bingung cari makanan hehe ðŸ˜ â€¦",netral,positif,positif,,,,3,1,1,0,0
Bestttt bngttttttt gacoann bestt lovee u gaconnnnâ¤â¤â¤â¤ðŸ’“ðŸ’“ðŸ’“ðŸ’“ðŸ’“ðŸ’“ â€¦,,,,,positif,,0,0,0,0,1
"Makanan sih aman, cuma mohon untuk kamar mandinya lebih di perhatikan lagi, airnya juga matiðŸ˜­ðŸ˜­ â€¦",netral,,,negatif,,,3,0,0,2,0
"makanannya enak, pelayanannya bagus dan ramah mba' nya, terimakasih gacoan, lovyu banyak'",positif,,positif,,,,1,0,1,0,0
"tempatnya semakin nyaman, pelayanan ramah banget",,,positif,positif,,,0,0,1,1,0
"enakk bgt, pelayanannya juga cepet, penyajian makanannya juga cepat sekali rekomended lahh",positif,,positif,,,,1,0,1,0,0
"Pelayanan lebih cepat dan efisien, bayar qris ga perlu ke kasir",,,positif,,,,0,0,1,0,0
Tempat nya makin luas jadi ndak ngantri lama the best pokoknyaðŸ‘‹ðŸ» â€¦,,,,positif,,,0,0,0,1,0
"makanannya enak, pelayanannya ramah, tempatnya bersih",positif,,positif,positif,,,1,0,1,1,0
"Beli mie hompimpa, mie yang tanpa kecap rasanya agak gurih tapi kurang nendang gitu deh. Untuk mienya tipe yg standar mie bukan yg lebar ataupun tebel yang tipis gitu, porsinya pas  Udang kejunya juga enak isinya 3 ya, cuma kok kaya beda ya â€¦",negatif,,,,,,2,0,0,0,0
Tempatnya bagus bngt. Karyawannya ramah2,,,positif,positif,,,0,0,1,1,0
"Sumpah lama bnget, nunggu lama, mienya tambah kecil, tdk recomended.",negatif,,negatif,,,,2,0,2,0,0
"Pelayanannya bagus ramah, makanan nya enak enak. Meskipun harganya murah tapi rasanya gaaa murahan sukaaa bangettt dahhh pokonyaaa buat saya ingin repeat order terusss....",positif,positif,positif,,,,1,1,1,0,0
makanannya enak bgt sih wajib kesiniðŸ”¥ðŸ”¥ â€¦,positif,,,,,,1,0,0,0,0
Mas mass  kemeja merah helpfull/sangat membantu banget ngarahin cara pesennnya,,,positif,,,,0,0,1,0,0
"Sekedar saran, mungkin area makan dan tempat parkir bisa diperluas lagi. Tapi kalian harus cobain mie hompimpanya sih dan lumpia udang recommended geeessss.",positif,,,negatif,,,1,0,0,2,0
"Rasa makanannya tidak berubah, kualitas makanan baik. Suasana makannya biasa saja. Untuk harganya relatif murah ya, cocok untuk mahasiswa juga.",positif,positif,,netral,,,1,1,0,3,0
"KARENA GUA SUKA GACOAN 9/10 TENTUNYAAA WKWKWK

TAPI UNTUK SUASANA TEMPAT, PANASSS SUMUSS GAES ðŸ˜­ TAPI IT'S OKE SII MENYESUAIKAN LOKASI. â€¦",,,,negatif,,,0,0,0,2,0
"Makannya enak,, untuk rasa ya tergantung keinginan levelnya yaaa,, tempat nya sih bagus tapi kurang luas aja,,",positif,,,negatif,,,1,0,0,2,0
"Mie nya enak seperti mie gacoan di kota2 lain.  Selalu ramai dan lama. Yang kurang aku suka banyak perokok, ganggu banget. Seharusnya ada larangan merokok di dalam. Mengganggu pengunjung lain.",positif,,,negatif,,,1,0,0,2,0
makanan enakk pelayanan baikkk mantappp dehhh,positif,,positif,,,,1,0,1,0,0
Salah satu alasan ramainya peminat mie gacoan karena rasa khasnya. Terlebih pelayan dan juga tempat sangat memuaskan,positif,,positif,positif,,,1,0,1,1,0
"pelayanan sangat cepat dan makanan enak, mungkin hanya tempat yang agak panas",positif,,positif,negatif,,,1,0,1,2,0
